2016-01-31 22:04:05.836 [] INFO  KEQWebPage  - JS Console:fit zoom is 0.3657142857142857: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.836 [] INFO  KEQWebPage  - JS Console:Called alignContent with |1400|1007|512|758|page-spread-left: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.836 [] INFO  KEQWebPage  - JS Console:top is 532pxleft is 0px: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.836 [] INFO  KEQWebPage  - JS Console:In loaded function calling two pages view :: line:72 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.836 [] INFO  KEQWebPage  - JS Console:LOG: show two pages called.: line:293 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.838 [] INFO  KEQWebPage  - JS Console:dow: 1250: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.838 [] INFO  KEQWebPage  - JS Console:fit zoom is 0.4096: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.838 [] INFO  KEQWebPage  - JS Console:Called alignContent with |1250|1014|512|758|page-spread-right: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.838 [] INFO  KEQWebPage  - JS Console:top is 418pxleft is 0px: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.839 [] INFO  KEQWebPage  - JS Console:dow: 1400: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.839 [] INFO  KEQWebPage  - JS Console:fit zoom is 0.3657142857142857: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.839 [] INFO  KEQWebPage  - JS Console:Called alignContent with |1400|1007|512|758|page-spread-left: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.839 [] INFO  KEQWebPage  - JS Console:top is 532pxleft is 0px: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.381 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
